Department,Category,Condition Group,Sales Week,Net Item Revenue (Fulfilled),Net Items (Fulfilled),Gross Orders (Fulfilled),Net Sell Through Items (Week),MSRP of Sold Items,Avg. Item Age When Sold,Avg. Item Age EOW,EOW Inventory For Sale $,EOW Inventory For Sale Items,MSRP of EOW Inventory,,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,12/30/2018,"$3,095",$53,49,5.00%,"$6,728",157.157,170.52,"$60,156","1,016","$118,885",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,12/23/2018,"$1,949",$35,37,3.20%,"$4,237",164.78,167.44,"$61,591","1,045","$121,722",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,12/16/2018,"$1,906",$34,34,3.10%,"$4,143",182.182,166.46,"$62,884","1,071","$124,276",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,12/9/2018,"$3,533",$64,58,5.60%,"$7,680",194.502,165.41,"$62,743","1,077","$123,998",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,12/2/2018,"$3,895",$66,63,5.50%,"$8,467",151.844,161.7,"$65,038","1,126","$128,533",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,11/25/2018,"$3,143",$51,51,4.20%,"$6,833",142.912,157.85,"$67,348","1,170","$133,098",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,11/18/2018,"$1,537",$25,27,2.10%,"$3,341",136.367,155.12,"$68,555","1,194","$135,485",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,11/11/2018,"$2,535",$45,42,3.60%,"$5,511",143.836,151.2,"$69,741","1,216","$137,828",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,11/4/2018,"$2,381",$40,38,3.10%,"$5,176",104.643,147.49,"$70,310","1,232","$138,952",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,10/28/2018,"$1,954",$30,30,2.30%,"$4,248",108.493,143.29,"$71,645","1,257","$141,591",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,10/21/2018,"$2,482",$39,38,3.00%,"$5,396",99.253,139.93,"$71,859","1,263","$142,013",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,10/14/2018,"$1,726",$28,30,2.20%,"$3,752",132.979,137.62,"$72,182","1,272","$142,652",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Perfect,10/7/2018,"$1,645",$26,29,2.10%,"$3,576",110.187,138.67,"$70,168","1,240","$138,672",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,1/13/2019,"$2,712",$61,65,8.00%,"$5,896",169.246,167.51,"$38,035",701,"$75,167",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,1/6/2019,"$3,384",$71,75,8.60%,"$7,357",142.373,161.28,"$40,822",758,"$80,676",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,12/30/2018,"$2,916",$56,52,6.30%,"$6,339",133.595,155.19,"$44,609",829,"$88,161",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,12/23/2018,"$1,499",$29,35,3.30%,"$3,259",166.166,156.24,"$44,726",838,"$88,391",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,12/16/2018,$632,$13,18,1.60%,"$1,374",121.198,162.82,"$43,376",822,"$85,724",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,12/9/2018,"$1,889",$35,38,4.20%,"$4,107",135.597,160.86,"$41,438",793,"$81,893",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,12/2/2018,"$2,691",$51,49,5.80%,"$5,850",139.216,157.01,"$43,096",827,"$85,170",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,11/25/2018,"$1,474",$28,29,3.10%,"$3,204",128.205,151.9,"$45,108",866,"$89,146",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,11/18/2018,"$1,089",$21,24,2.30%,"$2,367",101.794,147.07,"$46,296",887,"$91,493",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,11/11/2018,"$1,011",$20,20,2.10%,"$2,198",172.711,142.87,"$47,671",911,"$94,211",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,11/4/2018,"$1,043",$20,27,2.20%,"$2,267",108.493,139.72,"$47,380",908,"$93,637",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,10/28/2018,$895,$15,22,1.60%,"$1,946",153.769,137.27,"$47,907",920,"$94,678",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,10/21/2018,"$1,222",$21,25,2.20%,"$2,657",117.04,133.07,"$48,004",919,"$94,870",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,10/14/2018,"$1,410",$25,31,2.60%,"$3,065",111.727,129.29,"$48,558",929,"$95,965",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,Great,10/7/2018,"$1,957",$33,33,3.40%,"$4,254",105.721,124.53,"$48,686",935,"$96,217",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,1/13/2019,$528,$12,11,5.50%,"$1,148",213.521,175.35,"$10,034",206,"$19,830",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,1/6/2019,$568,$14,14,6.00%,"$1,235",167.09,168.91,"$10,608",218,"$20,965",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,12/30/2018,$273,$6,7,2.50%,$593,189.035,164.57,"$11,311",233,"$22,354",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,12/23/2018,$84,$2,4,0.90%,$183,232.54,163.03,"$11,166",230,"$22,067",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,12/16/2018,$309,$7,7,3.00%,$672,253.484,171.64,"$10,982",226,"$21,704",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,12/9/2018,$345,$8,8,3.50%,$750,192.654,173.81,"$10,568",220,"$20,885",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,12/2/2018,$63,$2,6,0.90%,$137,84.931,165.76,"$10,905",228,"$21,552",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,11/25/2018,$252,$5,5,2.10%,$548,105.413,161.77,"$10,962",229,"$21,663",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,11/18/2018,$340,$7,8,2.90%,$739,165.242,157.92,"$11,054",231,"$21,846",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,11/11/2018,$326,$7,8,2.80%,$709,176.407,153.65,"$11,383",239,"$22,496",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,11/4/2018,$354,$7,7,2.80%,$770,108.339,148.19,"$11,663",244,"$23,050",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,10/28/2018,-$10,$0,2,0.00%,-$22,125.664,144.2,"$11,937",250,"$23,591",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,10/21/2018,$206,$4,5,1.60%,$448,99.715,140.77,"$11,860",248,"$23,439",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,10/14/2018,$218,$4,6,1.60%,$474,53.977,134.05,"$12,110",253,"$23,933",,,,,,,,,,,,#REF!
Outdoor Storage,Shelves,OK,10/7/2018,$28,$1,2,0.40%,$61,74.228,128.66,"$12,246",256,"$24,202",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,1/13/2019,$956,$24,23,6.30%,"$1,125",194.425,209.65,"$16,906",359,"$24,862",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,1/6/2019,"$1,375",$37,35,8.90%,"$1,618",180.642,202.58,"$17,791",380,"$26,164",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,12/30/2018,$762,$20,22,4.60%,$896,217.371,196.91,"$19,380",419,"$28,500",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,12/23/2018,$758,$16,17,3.60%,$892,133.287,192.15,"$19,832",433,"$29,165",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,12/16/2018,$550,$12,22,2.60%,$647,125.433,185.5,"$20,193",441,"$29,695",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,12/9/2018,$859,$26,34,5.70%,"$1,011",165.319,183.05,"$19,773",431,"$29,077",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,12/2/2018,"$2,387",$51,45,10.10%,"$2,808",186.34,181.79,"$20,451",452,"$30,075",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,11/25/2018,$896,$20,26,4.00%,"$1,054",157.619,179.83,"$21,905",485,"$32,214",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,11/18/2018,$763,$15,16,3.00%,$898,102.641,178.57,"$22,310",492,"$32,809",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,11/11/2018,$953,$20,19,3.90%,"$1,121",163.471,175.07,"$22,158",491,"$32,586",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,11/4/2018,"$1,240",$26,29,5.00%,"$1,459",209.902,177.8,"$22,220",494,"$32,676",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,10/28/2018,$900,$18,24,3.40%,"$1,059",142.835,174.51,"$23,080",511,"$33,941",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,10/21/2018,"$1,570",$33,31,6.10%,"$1,847",114.73,171.22,"$23,221",512,"$34,149",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,10/14/2018,"$2,338",$49,47,8.50%,"$2,751",126.126,168.98,"$23,933",529,"$35,195",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Perfect,10/7/2018,"$2,050",$41,44,6.80%,"$2,412",139.986,163.45,"$25,808",565,"$37,953",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,1/13/2019,$482,$12,11,10.90%,$567,291.06,216.51,"$4,634",98,"$6,815",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,1/6/2019,$230,$7,10,6.10%,$271,148.302,210.35,"$5,002",107,"$7,355",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,12/30/2018,$401,$10,12,8.10%,$472,128.282,198.59,"$5,227",113,"$7,687",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,12/23/2018,$161,$4,5,3.20%,$189,60.368,194.6,"$5,550",121,"$8,161",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,12/16/2018,$288,$7,7,5.60%,$339,173.558,197.75,"$5,393",118,"$7,931",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,12/9/2018,$345,$9,10,7.00%,$406,142.373,186.55,"$5,448",119,"$8,012",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,12/2/2018,$474,$13,14,9.20%,$558,184.03,185.5,"$5,837",129,"$8,583",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,11/25/2018,$327,$8,8,5.60%,$385,128.744,186.62,"$5,959",135,"$8,763",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,11/18/2018,$130,$3,3,2.10%,$153,154,185.08,"$6,175",141,"$9,081",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,11/11/2018,$124,$3,3,2.10%,$146,31.724,176.4,"$6,201",142,"$9,119",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,11/4/2018,$445,$11,12,7.20%,$524,123.277,169.12,"$6,156",141,"$9,052",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,10/28/2018,$360,$8,9,5.20%,$424,210.21,175.21,"$6,310",147,"$9,279",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,10/21/2018,$460,$11,12,6.70%,$541,89.551,164.57,"$6,592",153,"$9,695",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,10/14/2018,$585,$14,13,8.00%,$688,113.036,160.86,"$6,959",162,"$10,233",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,Great,10/7/2018,$643,$14,14,7.40%,$756,121.506,151.34,"$7,417",174,"$10,908",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,1/13/2019,$0,$0,0,0.00%,$0,0,234.64,$842,19,"$1,238",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,1/6/2019,$54,$1,1,5.00%,$64,14.938,218.96,$842,19,"$1,238",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,12/30/2018,$36,$1,1,4.80%,$42,200.277,212.66,$886,20,"$1,302",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,12/23/2018,$20,$1,1,4.50%,$24,37.884,199.99,$922,21,"$1,356",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,12/16/2018,$0,$0,0,0.00%,$0,0,199.64,$942,22,"$1,385",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,12/9/2018,$89,$3,3,14.30%,$105,195.657,205.66,$759,18,"$1,116",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,12/2/2018,$72,$2,2,8.70%,$85,159.698,214.06,$849,21,"$1,249",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,11/25/2018,$127,$2,3,8.30%,$149,107.569,203.56,$884,22,"$1,301",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,11/18/2018,-$4,$1,2,3.80%,-$5,285.054,188.3,"$1,049",25,"$1,543",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,11/11/2018,$0,$0,0,0.00%,$0,0,192.36,$989,25,"$1,454",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,11/4/2018,$0,$0,0,0.00%,$0,0,187.46,$989,25,"$1,454",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,10/28/2018,$126,$3,3,12.00%,$148,68.376,190.19,$876,22,"$1,288",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,10/21/2018,$60,$1,1,3.70%,$71,9.394,179.06,$991,26,"$1,458",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,10/14/2018,$144,$4,4,13.80%,$169,137.753,180.74,$997,25,"$1,466",,,,,,,,,,,,#REF!
Outdoor Storage,Envelopes,OK,10/7/2018,$98,$3,4,9.40%,$115,99.407,164.99,"$1,170",29,"$1,721",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,1/13/2019,$255,$2,2,2.40%,$327,135.828,213.85,"$12,607",83,"$14,694",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,1/6/2019,$85,$1,1,1.20%,$109,106.491,207.69,"$12,888",85,"$15,021",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,12/30/2018,$0,$0,0,0.00%,$0,0,202.79,"$12,981",86,"$15,129",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,12/23/2018,$109,$1,1,1.10%,$140,82.852,196.49,"$12,981",86,"$15,129",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,12/16/2018,$0,$0,0,0.00%,$0,0,191.66,"$13,088",87,"$15,254",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,12/9/2018,$0,$0,0,0.00%,$0,0,186.76,"$13,088",87,"$15,254",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,12/2/2018,$0,$0,0,0.00%,$0,0,181.86,"$13,088",87,"$15,254",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,11/25/2018,$125,$1,1,1.20%,$160,106.568,176.89,"$12,939",85,"$15,081",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,11/18/2018,$0,$0,0,0.00%,$0,0,175.07,"$13,090",86,"$15,256",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,11/11/2018,$0,$0,0,0.00%,$0,0,171.22,"$12,828",85,"$14,951",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,11/4/2018,$350,$1,1,1.20%,$449,51.128,164.92,"$12,828",85,"$14,951",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,10/28/2018,$0,$0,0,0.00%,$0,0,160.09,"$13,156",86,"$15,333",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,10/21/2018,$60,$1,1,1.10%,$77,48.895,153.93,"$13,156",86,"$15,333",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,10/14/2018,$0,$0,0,0.00%,$0,0,149.03,"$13,215",87,"$15,403",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Perfect,10/7/2018,$0,$0,0,0.00%,$0,0,144.13,"$13,215",87,"$15,403",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,1/13/2019,"$1,579",$11,11,9.30%,"$2,024",186.032,228.76,"$15,938",107,"$18,576",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,1/6/2019,$486,$3,3,2.50%,$623,304.535,227.22,"$17,685",118,"$20,612",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,12/30/2018,-$95,$0,1,0.00%,-$122,136.521,222.25,"$18,128",120,"$21,128",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,12/23/2018,$85,$1,1,0.80%,$109,412.104,220.99,"$18,043",120,"$21,029",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,12/16/2018,$171,$1,1,0.80%,$219,124.971,215.67,"$18,128",121,"$21,128",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,12/9/2018,$0,$0,0,0.00%,$0,0,210.42,"$18,296",122,"$21,324",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,12/2/2018,$0,$0,0,0.00%,$0,0,205.52,"$18,296",122,"$21,324",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,11/25/2018,$180,$1,1,0.80%,$231,65.219,199.43,"$18,296",122,"$21,324",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,11/18/2018,$9,$0,1,0.00%,$12,161.007,193.06,"$18,307",123,"$21,337",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,11/11/2018,$0,$0,0,0.00%,$0,0,189,"$18,547",124,"$21,617",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,11/4/2018,$67,$1,1,0.80%,$86,79.618,183.19,"$18,547",124,"$21,617",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,10/28/2018,$63,$1,1,0.80%,$81,182.567,179.62,"$18,459",124,"$21,514",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,10/21/2018,$101,$1,1,0.80%,$129,37.499,173.67,"$18,516",125,"$21,581",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,10/14/2018,-$158,$0,1,0.00%,-$203,75.075,168.91,"$18,631",126,"$21,714",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,Great,10/7/2018,$0,$0,0,0.00%,$0,0,163.31,"$18,295",124,"$21,323",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,1/13/2019,$621,$3,3,8.30%,$796,240.548,225.75,"$4,704",33,"$5,482",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,1/6/2019,$0,$0,0,0.00%,$0,0,221.13,"$5,387",36,"$6,278",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,12/30/2018,$136,$1,1,2.70%,$174,204.204,215.46,"$5,387",36,"$6,278",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,12/23/2018,$0,$0,0,0.00%,$0,0,216.51,"$5,477",36,"$6,383",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,12/16/2018,$0,$0,0,0.00%,$0,0,211.61,"$5,477",36,"$6,383",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,12/9/2018,$42,$1,1,2.70%,$54,189.728,205.8,"$5,477",36,"$6,383",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,12/2/2018,$0,$0,0,0.00%,$0,0,200.9,"$5,518",37,"$6,431",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,11/25/2018,$0,$0,0,0.00%,$0,0,196,"$5,518",37,"$6,431",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,11/18/2018,$0,$0,0,0.00%,$0,0,191.1,"$5,518",37,"$6,431",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,11/11/2018,$0,$0,0,0.00%,$0,0,186.2,"$5,518",37,"$6,431",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,11/4/2018,$0,$0,0,0.00%,$0,0,181.3,"$5,518",37,"$6,431",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,10/28/2018,$0,$0,0,0.00%,$0,0,176.4,"$5,518",37,"$6,431",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,10/21/2018,$0,$0,0,0.00%,$0,0,171.5,"$5,518",37,"$6,431",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,10/14/2018,$0,$0,0,0.00%,$0,0,166.6,"$5,518",37,"$6,431",,,,,,,,,,,,#REF!
Outdoor Storage,Cabinets,OK,10/7/2018,$0,$0,0,0.00%,$0,0,161.7,"$5,518",37,"$6,431",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,1/13/2019,$554,$13,12,6.60%,"$1,231",208.054,168.84,"$10,418",183,"$21,047",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,1/6/2019,$731,$12,14,5.80%,"$1,624",192.038,166.53,"$10,881",194,"$21,982",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,12/30/2018,$533,$10,10,4.60%,"$1,184",155.232,159.25,"$11,759",207,"$23,756",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,12/23/2018,$552,$11,9,4.90%,"$1,227",198.429,155.54,"$12,220",215,"$24,687",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,12/16/2018,$340,$8,8,3.40%,$756,143.374,153.23,"$12,741",225,"$25,740",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,12/9/2018,$263,$6,7,2.60%,$584,175.945,151.62,"$12,825",228,"$25,909",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,12/2/2018,$991,$20,16,7.90%,"$2,202",168.861,146.23,"$12,957",232,"$26,176",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,11/25/2018,$573,$11,11,4.30%,"$1,273",125.356,142.17,"$13,707",247,"$27,691",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,11/18/2018,$381,$7,7,2.70%,$847,144.914,140.35,"$14,024",256,"$28,331",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,11/11/2018,$250,$5,5,1.90%,$556,118.58,136.08,"$14,304",261,"$28,898",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,11/4/2018,$241,$5,5,1.90%,$536,120.12,132.3,"$14,304",262,"$28,898",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,10/28/2018,$217,$4,6,1.50%,$482,62.755,127.61,"$14,402",265,"$29,096",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,10/21/2018,$210,$4,5,1.50%,$467,67.452,124.39,"$14,176",260,"$28,638",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,10/14/2018,$491,$9,9,3.30%,"$1,091",41.503,118.37,"$14,307",263,"$28,902",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Perfect,10/7/2018,$104,$2,5,0.80%,$231,97.02,118.02,"$14,102",259,"$28,489",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,1/13/2019,$568,$16,17,10.80%,"$1,262",110.495,138.74,"$7,275",132,"$14,698",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,1/6/2019,$622,$13,12,8.10%,"$1,382",104.489,131.6,"$7,910",148,"$15,980",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,12/30/2018,$289,$6,6,3.60%,$642,171.864,128.8,"$8,537",160,"$17,247",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,12/23/2018,$393,$8,9,4.80%,$873,110.341,125.65,"$8,624",160,"$17,422",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,12/16/2018,$218,$5,7,3.00%,$484,118.58,130.41,"$8,797",162,"$17,771",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,12/9/2018,$317,$7,8,4.20%,$704,128.513,128.1,"$8,526",158,"$17,224",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,12/2/2018,$465,$11,11,6.30%,"$1,033",133.903,122.85,"$8,851",165,"$17,880",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,11/25/2018,$267,$5,6,2.80%,$593,123.046,121.24,"$9,149",173,"$18,482",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,11/18/2018,$273,$6,7,3.30%,$607,127.589,117.46,"$9,266",176,"$18,720",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,11/11/2018,$275,$6,6,3.20%,$611,189.959,115.15,"$9,493",181,"$19,178",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,11/4/2018,$163,$4,4,2.10%,$362,88.088,112.77,"$9,577",184,"$19,347",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,10/28/2018,-$153,-$3,0,-1.60%,-$340,0,108.85,"$9,570",185,"$19,333",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,10/21/2018,$122,$2,2,1.10%,$271,49.896,106.19,"$9,255",178,"$18,698",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,10/14/2018,$106,$2,4,1.10%,$236,93.632,104.65,"$8,987",174,"$18,156",,,,,,,,,,,,#REF!
Kids Storage,Boxes,Great,10/7/2018,$293,$5,6,2.80%,$651,82.005,101.92,"$8,841",172,"$17,860",,,,,,,,,,,,#REF!
Kids Storage,Boxes,OK,1/13/2019,$77,$1,1,2.00%,$171,98.868,132.51,"$2,616",50,"$5,284",,,,,,,,,,,,#REF!
Kids Storage,Boxes,OK,1/6/2019,$140,$3,3,5.60%,$311,142.989,127.89,"$2,701",51,"$5,456",,,,,,,,,,,,#REF!
Kids Storage,Boxes,OK,12/30/2018,$197,$6,6,10.00%,$438,159.698,125.44,"$2,855",54,"$5,767",,,,,,,,,,,,#REF!
Kids Storage,Boxes,OK,12/23/2018,$0,$0,0,0.00%,$0,0,125.09,"$2,911",58,"$5,880",,,,,,,,,,,,#REF!
Kids Storage,Boxes,OK,12/16/2018,$47,$1,2,1.80%,$104,77.154,125.72,"$2,742",55,"$5,540",,,,,,,,,,,,#REF!
Kids Storage,Boxes,OK,12/9/2018,$140,$4,4,6.80%,$311,108.955,121.03,"$2,729",55,"$5,513",,,,,,,,,,,,#REF!
Kids Storage,Boxes,OK,12/2/2018,$108,$3,3,4.80%,$240,133.903,116.55,"$2,878",59,"$5,813",,,,,,,,,,,,#REF!
Kids Storage,Boxes,OK,11/25/2018,$40,$1,1,1.60%,$89,131.131,113.82,"$2,911",60,"$5,880",,,,,,,,,,,,#REF!
Kids Storage,Boxes,OK,11/18/2018,-$17,$0,1,0.00%,-$38,38.808,111.72,"$2,903",60,"$5,864",,,,,,,,,,,,#REF!
Kids Storage,Boxes,OK,11/11/2018,$70,$1,1,1.70%,$156,38.885,108.36,"$2,838",59,"$5,733",,,,,,,,,,,,#REF!
