item_id,category,department,from_state_name,to_state_name,staff_id,transition_date_time,transition_order,duration_secs,cumulative_duration_secs,price
34748,Forks,Kitchen and Dining,PACKED,DROPPED,135,2019-01-08T22:11:35.789000+00:00,8,8,40605326,47.06
34881,Forks,Kitchen and Dining,PICKED,PACKING,138,2019-01-04T19:00:34.605000+00:00,15,2617,40182984,20.8
34881,Forks,Kitchen and Dining,PACKING,PACKED,138,2019-01-04T19:01:28.028000+00:00,16,54,40183038,20.8
34881,Forks,Kitchen and Dining,PACKED,DROPPED,138,2019-01-04T19:01:42.830000+00:00,17,14,40183052,20.8
34881,Forks,Kitchen and Dining,PICKING,PICKED,120,2019-01-04T18:16:57.189000+00:00,14,88,40180367,20.8
34881,Forks,Kitchen and Dining,ORDERED,PICKING,120,2019-01-04T18:15:29.021000+00:00,13,72743,40180279,20.8
34881,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-03T22:03:06.358000+00:00,12,3704136,40107536,20.8
34881,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-04T19:14:40.660000+00:00,18,778,40183830,20.8
35010,Spoons,Kitchen and Dining,PICKED,PACKING,138,2019-01-28T23:39:03.415000+00:00,6,21941,42267731,22.3
35010,Spoons,Kitchen and Dining,PACKING,PACKED,138,2019-01-28T23:40:17.827000+00:00,7,74,42267805,22.3
35010,Spoons,Kitchen and Dining,PACKED,DROPPED,138,2019-01-28T23:41:26.085000+00:00,8,69,42267874,22.3
35010,Spoons,Kitchen and Dining,PICKING,PICKED,178,2019-01-28T17:33:22.748000+00:00,5,31,42245790,22.3
35010,Spoons,Kitchen and Dining,ORDERED,PICKING,178,2019-01-28T17:32:51.638000+00:00,4,227798,42245759,22.3
35010,Spoons,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-29T00:18:13.305000+00:00,9,2207,42270081,22.3
35010,Spoons,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-26T02:16:13.814000+00:00,3,41314737,42017961,22.3
35138,Forks,Kitchen and Dining,PICKING,PICKED,178,2019-01-08T19:35:53.700000+00:00,5,0,40518324,65.05
35138,Forks,Kitchen and Dining,PICKED,PACKING,138,2019-01-08T20:05:46.507000+00:00,6,1793,40520117,65.05
35138,Forks,Kitchen and Dining,PACKING,PACKED,138,2019-01-08T20:07:15.872000+00:00,7,89,40520206,65.05
35138,Forks,Kitchen and Dining,ORDERED,PICKING,178,2019-01-08T19:35:53.688000+00:00,4,57080,40518324,65.05
35138,Forks,Kitchen and Dining,PACKED,DROPPED,138,2019-01-08T20:07:30.079000+00:00,8,15,40520221,65.05
35138,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-08T22:55:41.098000+00:00,9,10091,40530312,65.05
35138,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-08T03:44:33.812000+00:00,3,39751213,40461244,65.05
35390,Forks,Kitchen and Dining,PICKED,PACKING,138,2019-01-02T18:32:04.970000+00:00,6,416,39986335,139.06
35390,Forks,Kitchen and Dining,PACKING,PACKED,138,2019-01-02T18:33:47.955000+00:00,7,103,39986438,139.06
35390,Forks,Kitchen and Dining,PACKED,DROPPED,138,2019-01-02T18:34:00.502000+00:00,8,13,39986451,139.06
35390,Forks,Kitchen and Dining,PICKING,PICKED,178,2019-01-02T18:25:08.031000+00:00,5,0,39985919,139.06
35390,Forks,Kitchen and Dining,ORDERED,PICKING,178,2019-01-02T18:25:08.015000+00:00,4,1983,39985919,139.06
35390,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-02T19:20:11.863000+00:00,9,2771,39989222,139.06
35390,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-02T17:52:05.453000+00:00,3,39283572,39983936,139.06
35737,Spoons,Kitchen and Dining,PICKING,PICKED,178,2019-01-31T17:55:01.677000+00:00,5,42,42422223,22.3
35737,Spoons,Kitchen and Dining,ORDERED,PICKING,178,2019-01-31T17:54:19.324000+00:00,4,2945,42422181,22.3
35737,Spoons,Kitchen and Dining,PICKED,PACKING,135,2019-01-31T19:07:22.601000+00:00,6,4341,42426564,22.3
35737,Spoons,Kitchen and Dining,PACKING,PACKED,135,2019-01-31T19:08:19.564000+00:00,7,57,42426621,22.3
35737,Spoons,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-31T17:05:14.360000+00:00,3,41797492,42419236,22.3
35737,Spoons,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-31T19:12:32.869000+00:00,9,205,42426874,22.3
35737,Spoons,Kitchen and Dining,PACKED,DROPPED,135,2019-01-31T19:09:07.960000+00:00,8,48,42426669,22.3
35948,Spoons,Kitchen and Dining,PICKING,PICKED,117,2019-01-15T17:47:58.998000+00:00,5,0,41033197,33.38
35948,Spoons,Kitchen and Dining,PICKED,PACKING,117,2019-01-15T18:47:19.633000+00:00,6,3561,41036758,33.38
35948,Spoons,Kitchen and Dining,PACKING,PACKED,117,2019-01-15T18:47:52.940000+00:00,7,33,41036791,33.38
35948,Spoons,Kitchen and Dining,ORDERED,PICKING,117,2019-01-15T17:47:58.983000+00:00,4,34153,41033197,33.38
35948,Spoons,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-15T19:13:57.749000+00:00,9,1549,41038356,33.38
35948,Spoons,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-15T08:18:45.630000+00:00,3,40387050,40999044,33.38
35948,Spoons,Kitchen and Dining,PACKED,DROPPED,117,2019-01-15T18:48:08.859000+00:00,8,16,41036807,33.38
36170,Spoons,Kitchen and Dining,PICKING,PICKED,178,2019-01-02T19:39:15.927000+00:00,5,0,39910737,26.05
36170,Spoons,Kitchen and Dining,ORDERED,PICKING,178,2019-01-02T19:39:15.913000+00:00,4,87203,39910737,26.05
36170,Spoons,Kitchen and Dining,PICKED,PACKING,138,2019-01-02T19:54:55.169000+00:00,6,940,39911677,26.05
36170,Spoons,Kitchen and Dining,PACKING,PACKED,138,2019-01-02T19:55:20.591000+00:00,7,25,39911702,26.05
36170,Spoons,Kitchen and Dining,PACKED,DROPPED,138,2019-01-02T19:55:45.143000+00:00,8,25,39911727,26.05
36170,Spoons,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-02T20:09:03.369000+00:00,9,798,39912525,26.05
36170,Spoons,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-01T19:25:52.470000+00:00,3,39124253,39823534,26.05
36327,Spoons,Kitchen and Dining,PICKED,PACKING,138,2019-01-08T20:08:01.469000+00:00,6,1793,40426710,27.14
36327,Spoons,Kitchen and Dining,PACKING,PACKED,138,2019-01-08T20:08:42.252000+00:00,7,41,40426751,27.14
36327,Spoons,Kitchen and Dining,PACKED,DROPPED,138,2019-01-08T20:08:54.757000+00:00,8,12,40426763,27.14
